date,D1,D2,D3,D4,RLS,best_alpha
2018-09-01,6.016519999999998,17.082579310344826,-0.9306620689655176,2.0487600000000015,3.9677599999999957,10.0
2018-10-01,-170.96436,-138.1389103448276,-97.92223448275863,-103.50104000000002,-67.46331999999998,10.0
2018-11-01,97.76060000000001,72.11333793103448,30.874344827586206,17.33904,80.42156000000003,10.0
2018-12-01,-36.643240000000006,-11.83671724137931,-8.600110344827588,-18.25656,-18.386680000000005,10.0
2019-01-01,37.08404,40.45017931034483,32.52951724137931,42.172320000000006,-5.088280000000006,10.0
2019-02-01,59.50788,40.32902068965518,32.52413793103448,29.563279999999995,29.944600000000005,10.0
2019-03-01,37.5576,48.109572413793096,14.068137931034482,6.166959999999999,31.390639999999998,10.0
2019-04-01,24.10624,23.239696551724144,20.176013793103447,34.985319999999994,-10.879079999999995,10.0
2019-05-01,-19.78264,5.180027586206898,0.7331172413793086,-32.00003999999999,12.217399999999994,10.0
2019-06-01,16.363599999999998,22.323517241379307,17.226827586206895,39.53604000000001,-23.172440000000005,10.0
2019-07-01,39.276039999999995,36.09467586206897,26.701034482758622,19.757479999999997,19.518559999999994,10.0
2019-08-01,-16.97604,-6.783103448275865,-23.79699310344828,1.2018400000000007,-18.177880000000002,10.0
