date,D1,D2,D3,D4,RLS,max_depth,learning_rate,n_estimators
2019-04-01,10.586526666666666,2.335703448275862,-0.4281620689655173,-4.0088099999999995,14.595336666666665,7,0.1,200
2019-05-01,9.67167,1.0560206896551725,-2.858820689655172,-11.767850000000001,21.43952,7,0.1,200
2019-06-01,8.172986666666667,2.514606896551724,0.5367,-3.27828,11.451266666666667,7,0.1,200
2019-07-01,11.705286666666666,1.6211241379310344,0.02723103448275861,-3.3206933333333333,15.025979999999999,7,0.1,200
2019-08-01,7.91911,-1.2539,-3.115341379310345,-7.473423333333333,15.392533333333333,7,0.1,200
2019-09-01,6.673446666666666,1.4672413793103447,-0.4980310344827586,-3.2816899999999998,9.955136666666666,7,0.1,200
2019-10-01,8.329556666666667,2.980144827586207,0.8516241379310344,-3.0601866666666666,11.389743333333334,7,0.1,200
2019-11-01,8.638446666666665,1.127151724137931,-0.8548724137931034,-4.718086666666666,13.356533333333331,7,0.1,200
2019-12-01,8.428143333333333,2.744072413793104,1.3847103448275861,-2.2738,10.701943333333332,5,0.1,200
2020-01-01,2.8726100000000003,-3.1964172413793106,-5.507044827586206,-10.627576666666666,13.500186666666666,7,0.1,200
2020-02-01,5.96211,-0.425,-3.0371827586206894,-7.254593333333333,13.216703333333333,7,0.1,200
2020-03-01,-4.047076666666666,-10.6284,-17.091258620689654,-24.27544,20.228363333333334,7,0.1,200
2020-04-01,27.283106666666665,15.329803448275863,10.545937931034484,3.9256266666666666,23.35748,7,0.1,200
2020-05-01,14.065923333333332,2.340910344827586,-1.541151724137931,-4.7743166666666665,18.840239999999998,7,0.1,200
2020-06-01,15.361486666666668,6.8018931034482755,2.6614172413793105,-0.64698,16.008466666666667,7,0.1,200
2020-07-01,17.57509,2.4640310344827587,-2.0910793103448277,-7.054773333333333,24.629863333333333,7,0.1,200
2020-08-01,16.846,2.628658620689655,-0.3685724137931034,-5.92134,22.76734,7,0.1,200
2020-09-01,6.282536666666667,-1.7152172413793105,-3.6026103448275864,-7.293733333333334,13.576270000000001,7,0.1,200
2020-10-01,9.85286,0.8362034482758621,-1.5028896551724136,-4.578203333333334,14.431063333333334,7,0.1,200
2020-11-01,24.013339999999996,8.874689655172414,5.358186206896552,-0.28289333333333333,24.29623333333333,5,0.1,200
2020-12-01,23.26179,5.031875862068965,1.4907620689655174,-2.9616066666666665,26.223396666666666,7,0.1,200
2021-01-01,9.048869999999999,-3.727258620689655,-7.640534482758621,-15.759516666666665,24.808386666666664,5,0.1,200
2021-02-01,20.43074,6.856158620689655,4.222213793103448,1.3024433333333332,19.128296666666667,5,0.1,200
2021-03-01,15.47392,7.634631034482759,3.9991620689655174,-2.1121066666666666,17.586026666666665,5,0.1,200
2021-04-01,43.03763333333333,9.355793103448276,2.5922137931034483,-2.7584966666666664,45.79613,7,0.1,200
2021-05-01,10.942306666666667,-4.054720689655173,-8.82476551724138,-14.454263333333333,25.39657,7,0.1,200
2021-06-01,24.69384,4.129258620689655,0.7452827586206896,-3.927043333333333,28.620883333333335,7,0.1,200
2021-07-01,5.955343333333333,-0.3754275862068965,-3.285172413793103,-11.502839999999999,17.45818333333333,5,0.1,200
2021-08-01,10.803646666666667,1.9438275862068966,-1.5236724137931035,-7.626203333333334,18.429850000000002,7,0.1,200
2021-09-01,6.58606,0.22297586206896552,-1.9610655172413793,-7.2511833333333335,13.837243333333333,7,0.1,200
2021-10-01,10.18473,0.9219586206896552,-0.986951724137931,-8.65628,18.84101,7,0.1,200
2021-11-01,12.969346666666667,2.472803448275862,-0.9083413793103448,-4.30611,17.275456666666667,7,0.1,200
2021-12-01,15.017623333333335,5.198793103448276,2.170686206896552,-1.4156633333333335,16.433286666666667,5,0.1,200
2022-01-01,2.5550433333333333,-1.5576586206896552,-5.428168965517242,-13.70382,16.258863333333334,7,0.1,200
2022-02-01,11.081973333333334,2.572279310344828,0.4427931034482758,-4.2325,15.314473333333334,5,0.1,200
2022-03-01,9.540756666666665,3.103106896551724,-0.6089448275862068,-6.3921833333333336,15.932939999999999,7,0.1,200
2022-04-01,3.4099866666666667,-2.3582896551724137,-5.3645689655172415,-11.09775,14.507736666666666,5,0.1,200
2022-05-01,8.237193333333334,0.9589689655172414,-2.969793103448276,-8.688163333333334,16.925356666666666,5,0.1,200
2022-06-01,3.769296666666667,-3.5598620689655176,-7.59331724137931,-17.662063333333332,21.431359999999998,7,0.1,200
2022-07-01,12.936403333333335,2.2099448275862072,0.024806896551724116,-4.076973333333333,17.013376666666666,5,0.1,200
2022-08-01,10.834100000000001,2.781179310344828,1.2037586206896551,-4.124203333333333,14.958303333333333,5,0.1,200
2022-09-01,-0.7743266666666667,-5.542262068965518,-10.45483448275862,-16.558176666666665,15.783849999999997,5,0.1,200
2022-10-01,5.168679999999999,-0.9166862068965517,-4.456186206896552,-8.991393333333333,14.160073333333333,5,0.1,200
2022-11-01,20.22918333333333,11.424506896551724,6.008289655172414,0.96674,19.26244333333333,5,0.1,200
2022-12-01,5.29691,-0.39484482758620687,-3.6442758620689655,-8.699963333333333,13.996873333333333,7,0.1,200
2023-01-01,11.116096666666667,4.705620689655172,2.1583965517241377,-0.9053466666666666,12.021443333333334,7,0.1,200
2023-02-01,13.50107,3.992286206896552,1.3054413793103448,-2.3989033333333336,15.899973333333334,7,0.1,200
2023-03-01,9.382136666666666,2.137158620689655,-1.7155827586206895,-5.53329,14.915426666666665,5,0.1,200
2023-04-01,8.8178,2.2744137931034483,-0.5700172413793103,-5.481273333333333,14.299073333333332,5,0.1,200
2023-05-01,19.16670333333333,4.185558620689656,1.5159344827586207,-2.749213333333333,21.915916666666664,7,0.1,200
2023-06-01,14.822583333333334,3.585979310344828,1.1518413793103448,-1.8501566666666667,16.67274,7,0.1,200
2023-07-01,17.46242,1.4278241379310346,-1.9362655172413792,-6.125036666666667,23.587456666666668,7,0.1,200
2023-08-01,6.770776666666666,-0.9800448275862068,-3.943196551724138,-9.284273333333333,16.05505,7,0.1,200
2023-09-01,5.933253333333334,0.07274827586206896,-2.3712275862068966,-7.094266666666667,13.02752,5,0.1,200
2023-10-01,3.03824,-1.8883724137931035,-4.874586206896551,-11.66221,14.70045,5,0.1,200
2023-11-01,14.551906666666667,7.067006896551724,4.366603448275862,1.1930699999999999,13.358836666666667,7,0.1,200
2023-12-01,11.558066666666667,2.5244896551724136,0.2542689655172414,-2.6498033333333333,14.20787,7,0.1,200
2024-01-01,4.055636666666667,-1.936548275862069,-4.279817241379311,-8.548233333333334,12.60387,5,0.1,200
2024-02-01,11.231950000000001,3.0820827586206896,0.9915413793103448,-2.702233333333333,13.934183333333333,7,0.1,200
2024-03-01,17.299103333333335,3.7856275862068967,-0.4844655172413793,-6.980860000000001,24.279963333333335,5,0.1,200
2024-04-01,14.783449999999998,3.108941379310345,0.012137931034482739,-5.406273333333333,20.189723333333333,7,0.1,200
2024-05-01,14.876196666666665,4.213682758620689,0.5748448275862069,-4.729173333333334,19.60537,7,0.1,200
2024-06-01,11.119776666666667,2.963951724137931,-0.5223137931034484,-4.8372866666666665,15.957063333333334,7,0.1,200
2024-07-01,8.499146666666666,-0.003603448275862055,-3.5781172413793105,-9.070733333333333,17.569879999999998,5,0.1,200
2024-08-01,9.197783333333332,1.1290689655172415,-1.9430793103448276,-7.0746400000000005,16.272423333333332,7,0.1,200
2024-09-01,6.30464,1.479548275862069,-1.0887068965517241,-6.54287,12.84751,7,0.1,200
2024-10-01,6.22083,-1.3898034482758619,-4.442234482758621,-9.480973333333333,15.701803333333334,5,0.1,200
2024-11-01,5.494486666666666,0.396,-2.5598379310344828,-8.518936666666667,14.013423333333332,5,0.1,200
2024-12-01,7.19441,-0.17874827586206896,-3.7808931034482756,-10.069353333333334,17.263763333333333,7,0.1,200
2025-01-01,5.527163333333333,0.9105620689655173,-1.4037413793103448,-6.456286666666667,11.983450000000001,5,0.1,200
2025-02-01,14.24846,4.30768275862069,1.5827896551724139,-3.2930633333333335,17.541523333333334,7,0.1,200
2025-03-01,2.876333333333333,0.5947068965517242,-0.6949931034482759,-3.1944,6.070733333333333,7,0.1,200
